,soccer,football,basketball,swimming,hockey,golf,UFC,Ski,snowboard,tennis
2020-01-01,35.0,23.0,23.0,40.0,42.0,21.0,2.0,96.0,30.0,15.0
2020-01-02,28.0,22.0,24.0,80.0,55.0,28.0,2.0,100.0,56.0,15.0
2020-01-03,36.0,15.0,21.0,76.0,50.0,28.0,3.0,94.0,97.0,28.0
2020-01-04,52.0,23.0,40.0,76.0,77.0,28.0,4.0,98.0,88.0,30.0
2020-01-05,33.0,39.0,55.0,75.0,100.0,26.0,3.0,96.0,62.0,35.0
2020-01-06,26.0,17.0,32.0,42.0,41.0,20.0,3.0,70.0,42.0,26.0
2020-01-07,40.0,16.0,37.0,53.0,37.0,24.0,3.0,57.0,67.0,32.0
2020-01-08,38.0,11.0,30.0,47.0,38.0,19.0,3.0,50.0,37.0,31.0
2020-01-09,37.0,16.0,40.0,37.0,33.0,22.0,3.0,42.0,61.0,28.0
2020-01-10,34.0,11.0,32.0,48.0,42.0,21.0,4.0,47.0,43.0,44.0
2020-01-11,48.0,28.0,50.0,81.0,49.0,28.0,5.0,56.0,57.0,41.0
2020-01-12,62.0,39.0,35.0,55.0,50.0,24.0,4.0,59.0,44.0,34.0
2020-01-13,32.0,35.0,29.0,63.0,36.0,21.0,4.0,53.0,43.0,23.0
2020-01-14,52.0,49.0,34.0,76.0,34.0,22.0,2.0,51.0,25.0,31.0
2020-01-15,50.0,14.0,30.0,83.0,31.0,23.0,3.0,45.0,55.0,24.0
2020-01-16,40.0,16.0,39.0,69.0,36.0,23.0,4.0,42.0,19.0,30.0
2020-01-17,33.0,16.0,46.0,43.0,37.0,26.0,6.0,52.0,58.0,34.0
2020-01-18,52.0,22.0,51.0,65.0,44.0,31.0,22.0,74.0,69.0,39.0
2020-01-19,54.0,42.0,39.0,64.0,57.0,25.0,100.0,91.0,62.0,24.0
2020-01-20,39.0,30.0,33.0,100.0,33.0,27.0,6.0,49.0,52.0,54.0
2020-01-21,42.0,15.0,41.0,42.0,28.0,28.0,5.0,44.0,42.0,55.0
2020-01-22,62.0,19.0,42.0,26.0,28.0,21.0,2.0,45.0,70.0,52.0
2020-01-23,46.0,14.0,56.0,53.0,31.0,22.0,3.0,49.0,38.0,57.0
2020-01-24,58.0,13.0,51.0,65.0,30.0,26.0,1.0,65.0,34.0,78.0
2020-01-25,44.0,17.0,63.0,83.0,47.0,34.0,4.0,76.0,100.0,79.0
2020-01-26,53.0,18.0,100.0,51.0,45.0,31.0,8.0,78.0,35.0,100.0
2020-01-27,53.0,14.0,87.0,35.0,27.0,30.0,2.0,50.0,67.0,80.0
2020-01-28,36.0,15.0,50.0,61.0,34.0,27.0,3.0,39.0,59.0,87.0
2020-01-29,44.0,14.0,46.0,36.0,27.0,27.0,2.0,37.0,46.0,70.0
2020-01-30,43.0,18.0,52.0,59.0,30.0,26.0,3.0,46.0,48.0,72.0
2020-01-31,47.0,18.0,46.0,70.0,35.0,32.0,3.0,46.0,19.0,53.0
2020-02-01,64.0,23.0,79.0,59.0,57.0,37.0,3.0,67.0,53.0,55.0
2020-02-02,64.0,99.0,53.0,98.0,61.0,31.0,2.0,61.0,61.0,70.0
2020-02-03,43.0,100.0,32.0,52.0,29.0,22.0,2.0,44.0,25.0,21.0
2020-02-04,47.0,20.0,42.0,41.0,30.0,23.0,2.0,37.0,37.0,30.0
2020-02-05,59.0,17.0,61.0,78.0,37.0,26.0,2.0,36.0,37.0,20.0
2020-02-06,46.0,13.0,54.0,57.0,29.0,25.0,2.0,39.0,28.0,26.0
2020-02-07,34.0,10.0,42.0,45.0,35.0,18.0,3.0,57.0,36.0,31.0
2020-02-08,100.0,15.0,60.0,74.0,46.0,24.0,10.0,74.0,33.0,42.0
2020-02-09,45.0,16.0,54.0,70.0,56.0,35.0,39.0,71.0,47.0,44.0
2020-02-10,44.0,11.0,32.0,41.0,32.0,26.0,4.0,45.0,64.0,25.0
2020-02-11,63.0,11.0,57.0,57.0,37.0,22.0,2.0,43.0,64.0,39.0
2020-02-12,46.0,11.0,28.0,37.0,35.0,25.0,2.0,41.0,70.0,46.0
2020-02-13,45.0,12.0,48.0,52.0,41.0,26.0,4.0,45.0,51.0,54.0
2020-02-14,47.0,9.0,45.0,47.0,34.0,28.0,2.0,48.0,19.0,55.0
2020-02-15,68.0,17.0,67.0,70.0,48.0,32.0,5.0,66.0,31.0,72.0
2020-02-16,61.0,11.0,83.0,80.0,54.0,35.0,11.0,75.0,71.0,64.0
2020-02-17,55.0,12.0,55.0,56.0,37.0,29.0,1.0,49.0,31.0,28.0
2020-02-18,72.0,15.0,42.0,40.0,33.0,28.0,2.0,41.0,13.0,36.0
2020-02-19,61.0,13.0,49.0,55.0,35.0,24.0,2.0,46.0,31.0,39.0
2020-02-20,67.0,14.0,34.0,56.0,33.0,31.0,2.0,38.0,31.0,56.0
