,Habs,Montreal Impact,MLS,NBA,Stanley Cup,NHL	,CFL,Champions League,BPL,UFC
2020-01-01,33.0,6.0,19.0,39.0,32.0,71.0,14.0,3.0,59.0,2.0
2020-01-02,40.0,2.0,33.0,43.0,27.0,32.0,15.0,2.0,50.0,2.0
2020-01-03,100.0,10.0,13.0,44.0,35.0,62.0,0.0,0.0,0.0,3.0
2020-01-04,40.0,4.0,31.0,55.0,56.0,50.0,8.0,2.0,0.0,4.0
2020-01-05,67.0,5.0,19.0,40.0,37.0,72.0,8.0,2.0,0.0,3.0
2020-01-06,37.0,4.0,28.0,36.0,17.0,33.0,7.0,5.0,0.0,3.0
2020-01-07,72.0,3.0,27.0,31.0,17.0,59.0,11.0,4.0,70.0,3.0
2020-01-08,50.0,6.0,29.0,37.0,25.0,66.0,14.0,2.0,46.0,3.0
2020-01-09,29.0,5.0,23.0,36.0,17.0,42.0,0.0,2.0,47.0,3.0
2020-01-10,67.0,7.0,27.0,34.0,26.0,64.0,7.0,5.0,47.0,4.0
2020-01-11,28.0,2.0,17.0,50.0,37.0,48.0,8.0,3.0,51.0,5.0
2020-01-12,67.0,5.0,31.0,44.0,35.0,76.0,15.0,4.0,0.0,4.0
2020-01-13,21.0,4.0,27.0,26.0,31.0,37.0,7.0,3.0,0.0,4.0
2020-01-14,50.0,4.0,23.0,31.0,23.0,53.0,6.0,6.0,0.0,2.0
2020-01-15,38.0,7.0,30.0,33.0,17.0,51.0,7.0,5.0,0.0,3.0
2020-01-16,58.0,3.0,20.0,39.0,17.0,55.0,7.0,3.0,0.0,4.0
2020-01-17,48.0,6.0,14.0,39.0,0.0,60.0,10.0,8.0,48.0,6.0
2020-01-18,29.0,5.0,27.0,47.0,29.0,58.0,8.0,4.0,0.0,22.0
2020-01-19,77.0,3.0,30.0,46.0,47.0,91.0,13.0,4.0,51.0,100.0
2020-01-20,28.0,5.0,28.0,44.0,69.0,38.0,9.0,2.0,0.0,6.0
2020-01-21,24.0,11.0,23.0,45.0,17.0,37.0,11.0,3.0,0.0,5.0
2020-01-22,17.0,7.0,27.0,40.0,26.0,36.0,18.0,4.0,46.0,2.0
2020-01-23,29.0,7.0,21.0,59.0,0.0,30.0,14.0,2.0,47.0,3.0
2020-01-24,9.0,5.0,21.0,53.0,0.0,25.0,15.0,6.0,47.0,1.0
2020-01-25,19.0,11.0,35.0,59.0,48.0,51.0,24.0,5.0,52.0,4.0
2020-01-26,8.0,8.0,36.0,90.0,64.0,37.0,8.0,3.0,0.0,8.0
2020-01-27,16.0,3.0,26.0,66.0,0.0,25.0,14.0,5.0,0.0,2.0
2020-01-28,51.0,7.0,20.0,52.0,33.0,46.0,0.0,4.0,45.0,3.0
2020-01-29,18.0,7.0,33.0,52.0,17.0,31.0,7.0,3.0,46.0,2.0
2020-01-30,33.0,5.0,24.0,50.0,26.0,39.0,22.0,4.0,47.0,3.0
2020-01-31,44.0,8.0,35.0,52.0,26.0,46.0,7.0,5.0,0.0,3.0
2020-02-01,65.0,8.0,29.0,85.0,38.0,78.0,16.0,8.0,52.0,3.0
2020-02-02,73.0,11.0,28.0,69.0,19.0,83.0,12.0,6.0,0.0,2.0
2020-02-03,23.0,5.0,28.0,31.0,46.0,26.0,11.0,5.0,42.0,2.0
2020-02-04,22.0,5.0,19.0,41.0,33.0,32.0,7.0,5.0,46.0,2.0
2020-02-05,63.0,6.0,29.0,51.0,34.0,60.0,0.0,7.0,93.0,2.0
2020-02-06,22.0,11.0,33.0,69.0,34.0,42.0,7.0,3.0,0.0,2.0
2020-02-07,51.0,5.0,20.0,63.0,32.0,64.0,14.0,4.0,44.0,3.0
2020-02-08,41.0,9.0,49.0,61.0,30.0,54.0,14.0,4.0,0.0,10.0
2020-02-09,88.0,10.0,27.0,62.0,47.0,88.0,20.0,5.0,51.0,39.0
2020-02-10,37.0,6.0,29.0,39.0,0.0,41.0,10.0,7.0,0.0,4.0
2020-02-11,60.0,12.0,29.0,60.0,17.0,55.0,12.0,8.0,45.0,2.0
2020-02-12,50.0,7.0,36.0,44.0,34.0,45.0,18.0,4.0,0.0,2.0
2020-02-13,57.0,11.0,39.0,51.0,25.0,56.0,25.0,8.0,0.0,4.0
2020-02-14,26.0,9.0,28.0,40.0,26.0,39.0,19.0,11.0,0.0,2.0
2020-02-15,63.0,6.0,38.0,46.0,38.0,63.0,32.0,8.0,52.0,5.0
2020-02-16,66.0,6.0,34.0,71.0,28.0,76.0,12.0,10.0,100.0,11.0
2020-02-17,23.0,5.0,37.0,80.0,33.0,43.0,7.0,10.0,45.0,1.0
2020-02-18,34.0,11.0,32.0,16.0,24.0,41.0,7.0,74.0,0.0,2.0
2020-02-19,65.0,16.0,29.0,20.0,32.0,70.0,9.0,75.0,0.0,2.0
2020-02-20,36.0,66.0,31.0,19.0,24.0,48.0,7.0,28.0,0.0,2.0
2020-02-21,64.0,12.0,22.0,36.0,41.0,62.0,12.0,12.0,0.0,3.0
2020-02-22,45.0,9.0,36.0,61.0,18.0,58.0,8.0,11.0,50.0,6.0
2020-02-23,59.0,14.0,42.0,52.0,45.0,100.0,8.0,10.0,99.0,8.0
2020-02-24,62.0,11.0,31.0,37.0,16.0,95.0,7.0,16.0,0.0,1.0
2020-02-25,44.0,14.0,27.0,46.0,16.0,39.0,0.0,60.0,0.0,2.0
2020-02-26,49.0,27.0,42.0,65.0,23.0,54.0,9.0,72.0,0.0,1.0
2020-02-27,30.0,100.0,30.0,30.0,22.0,33.0,6.0,44.0,0.0,1.0
2020-02-28,55.0,21.0,33.0,30.0,0.0,53.0,7.0,19.0,0.0,2.0
2020-02-29,25.0,60.0,80.0,43.0,46.0,53.0,8.0,7.0,76.0,5.0
2020-03-01,54.0,35.0,93.0,56.0,37.0,70.0,8.0,11.0,50.0,7.0
2020-03-02,20.0,9.0,43.0,38.0,32.0,35.0,14.0,8.0,0.0,1.0
2020-03-03,20.0,11.0,29.0,33.0,16.0,31.0,7.0,12.0,44.0,2.0
2020-03-04,37.0,15.0,29.0,50.0,32.0,56.0,14.0,8.0,0.0,2.0
2020-03-05,29.0,15.0,33.0,38.0,0.0,40.0,7.0,5.0,0.0,2.0
2020-03-06,33.0,11.0,34.0,58.0,58.0,53.0,7.0,7.0,0.0,5.0
2020-03-07,24.0,55.0,100.0,55.0,46.0,53.0,15.0,12.0,0.0,9.0
2020-03-08,42.0,21.0,73.0,56.0,36.0,68.0,7.0,10.0,98.0,45.0
2020-03-09,13.0,17.0,43.0,39.0,31.0,29.0,7.0,13.0,0.0,8.0
2020-03-10,17.0,36.0,33.0,38.0,15.0,34.0,11.0,71.0,0.0,3.0
2020-03-11,28.0,79.0,40.0,46.0,40.0,46.0,7.0,100.0,0.0,2.0
2020-03-12,30.0,13.0,41.0,100.0,30.0,59.0,13.0,37.0,42.0,3.0
2020-03-13,9.0,5.0,18.0,17.0,61.0,13.0,6.0,9.0,0.0,3.0
2020-03-14,7.0,5.0,28.0,14.0,45.0,14.0,8.0,5.0,0.0,11.0
2020-03-15,12.0,4.0,28.0,17.0,27.0,8.0,15.0,2.0,48.0,6.0
2020-03-16,3.0,5.0,14.0,12.0,15.0,8.0,6.0,3.0,0.0,3.0
2020-03-17,9.0,2.0,15.0,9.0,54.0,6.0,0.0,4.0,0.0,2.0
2020-03-18,6.0,2.0,15.0,10.0,23.0,7.0,7.0,3.0,0.0,1.0
2020-03-19,9.0,2.0,17.0,9.0,31.0,7.0,6.0,4.0,0.0,2.0
2020-03-20,3.0,3.0,13.0,14.0,0.0,7.0,6.0,4.0,0.0,2.0
2020-03-21,5.0,2.0,23.0,9.0,26.0,8.0,0.0,6.0,0.0,1.0
2020-03-22,6.0,0.0,21.0,8.0,17.0,9.0,0.0,3.0,0.0,2.0
2020-03-23,6.0,2.0,20.0,5.0,14.0,7.0,6.0,2.0,0.0,1.0
2020-03-24,10.0,2.0,21.0,12.0,15.0,6.0,0.0,3.0,0.0,2.0
2020-03-25,0.0,2.0,10.0,9.0,16.0,7.0,0.0,3.0,0.0,1.0
2020-03-26,5.0,3.0,16.0,9.0,15.0,7.0,10.0,2.0,0.0,2.0
2020-03-27,3.0,2.0,17.0,10.0,30.0,6.0,8.0,2.0,0.0,1.0
2020-03-28,8.0,2.0,17.0,10.0,34.0,8.0,7.0,2.0,0.0,3.0
2020-03-29,6.0,2.0,18.0,14.0,24.0,9.0,7.0,2.0,0.0,2.0
2020-03-30,5.0,2.0,17.0,8.0,36.0,6.0,6.0,8.0,0.0,1.0
2020-03-31,5.0,3.0,12.0,7.0,66.0,9.0,6.0,2.0,0.0,2.0
2020-04-01,7.0,2.0,10.0,8.0,36.0,7.0,9.0,2.0,0.0,2.0
2020-04-02,10.0,2.0,12.0,9.0,43.0,7.0,12.0,2.0,0.0,1.0
2020-04-03,4.0,3.0,14.0,8.0,36.0,8.0,6.0,0.0,0.0,3.0
2020-04-04,4.0,4.0,14.0,13.0,0.0,7.0,14.0,2.0,0.0,2.0
2020-04-05,4.0,3.0,18.0,12.0,16.0,6.0,7.0,3.0,0.0,2.0
2020-04-06,0.0,3.0,13.0,11.0,21.0,6.0,9.0,2.0,0.0,2.0
2020-04-07,8.0,2.0,11.0,8.0,14.0,7.0,6.0,3.0,0.0,3.0
2020-04-08,3.0,3.0,8.0,8.0,14.0,6.0,6.0,4.0,0.0,2.0
2020-04-09,5.0,2.0,10.0,6.0,20.0,7.0,6.0,1.0,0.0,2.0
2020-04-10,6.0,3.0,15.0,10.0,45.0,7.0,6.0,2.0,0.0,3.0
2020-04-11,4.0,2.0,18.0,10.0,55.0,9.0,13.0,3.0,0.0,1.0
2020-04-12,9.0,3.0,20.0,9.0,33.0,8.0,14.0,5.0,0.0,1.0
2020-04-13,5.0,2.0,17.0,7.0,36.0,8.0,8.0,3.0,0.0,2.0
2020-04-14,5.0,2.0,22.0,7.0,28.0,6.0,12.0,2.0,0.0,1.0
2020-04-15,5.0,2.0,13.0,12.0,14.0,6.0,6.0,2.0,0.0,1.0
2020-04-16,6.0,2.0,13.0,11.0,43.0,6.0,8.0,4.0,0.0,2.0
2020-04-17,11.0,2.0,16.0,10.0,22.0,6.0,6.0,2.0,39.0,2.0
2020-04-18,6.0,2.0,21.0,7.0,33.0,6.0,7.0,2.0,0.0,2.0
2020-04-19,7.0,3.0,24.0,7.0,61.0,9.0,6.0,2.0,0.0,2.0
2020-04-20,5.0,2.0,11.0,9.0,28.0,6.0,0.0,4.0,0.0,1.0
2020-04-21,4.0,3.0,17.0,11.0,21.0,6.0,10.0,3.0,0.0,1.0
2020-04-22,19.0,2.0,15.0,11.0,42.0,6.0,6.0,2.0,0.0,2.0
2020-04-23,6.0,2.0,12.0,9.0,50.0,8.0,8.0,3.0,0.0,2.0
2020-04-24,6.0,4.0,17.0,13.0,75.0,8.0,6.0,2.0,0.0,1.0
