,Chlamydia,VIH,Herpès,Blennorragie,HPV,Hépatite B,Syphilis,STI,STD,Hépatite A
2020-01-01,34.0,0.0,0.0,0.0,27.0,0.0,33.0,50.0,37.0,0.0
2020-01-02,58.0,32.0,0.0,0.0,0.0,47.0,0.0,63.0,63.0,0.0
2020-01-03,55.0,20.0,48.0,0.0,44.0,45.0,0.0,27.0,40.0,0.0
2020-01-04,49.0,0.0,52.0,0.0,47.0,0.0,28.0,58.0,32.0,0.0
2020-01-05,68.0,33.0,0.0,0.0,23.0,0.0,0.0,54.0,0.0,0.0
2020-01-06,53.0,39.0,47.0,0.0,32.0,43.0,25.0,39.0,44.0,0.0
2020-01-07,42.0,20.0,0.0,0.0,22.0,0.0,38.0,20.0,59.0,0.0
2020-01-08,35.0,20.0,0.0,0.0,42.0,43.0,25.0,52.0,58.0,0.0
2020-01-09,18.0,20.0,0.0,0.0,36.0,65.0,26.0,39.0,73.0,0.0
2020-01-10,48.0,40.0,0.0,0.0,33.0,44.0,52.0,80.0,40.0,0.0
2020-01-11,39.0,0.0,51.0,0.0,23.0,0.0,0.0,21.0,64.0,36.0
2020-01-12,18.0,20.0,0.0,0.0,22.0,0.0,26.0,30.0,40.0,34.0
2020-01-13,41.0,0.0,86.0,0.0,0.0,0.0,39.0,48.0,45.0,31.0
2020-01-14,48.0,27.0,84.0,0.0,58.0,39.0,23.0,53.0,53.0,30.0
2020-01-15,58.0,39.0,69.0,90.0,0.0,0.0,25.0,51.0,29.0,33.0
2020-01-16,24.0,20.0,0.0,0.0,43.0,44.0,51.0,46.0,39.0,0.0
2020-01-17,64.0,20.0,48.0,0.0,22.0,44.0,52.0,30.0,70.0,0.0
2020-01-18,100.0,22.0,0.0,0.0,48.0,48.0,29.0,59.0,49.0,0.0
2020-01-19,29.0,22.0,52.0,0.0,24.0,0.0,37.0,43.0,64.0,37.0
2020-01-20,24.0,20.0,0.0,0.0,21.0,0.0,51.0,33.0,58.0,0.0
2020-01-21,47.0,59.0,47.0,0.0,32.0,0.0,100.0,39.0,57.0,33.0
2020-01-22,59.0,20.0,47.0,0.0,0.0,43.0,0.0,52.0,0.0,100.0
2020-01-23,54.0,20.0,0.0,0.0,43.0,0.0,0.0,79.0,59.0,34.0
2020-01-24,42.0,50.0,95.0,0.0,44.0,0.0,26.0,87.0,89.0,34.0
2020-01-25,40.0,44.0,0.0,0.0,32.0,48.0,29.0,59.0,66.0,0.0
2020-01-26,32.0,21.0,50.0,0.0,23.0,0.0,27.0,42.0,31.0,36.0
2020-01-27,34.0,19.0,44.0,0.0,21.0,41.0,37.0,69.0,70.0,32.0
2020-01-28,52.0,19.0,45.0,0.0,35.0,42.0,33.0,44.0,57.0,0.0
2020-01-29,52.0,39.0,0.0,0.0,32.0,42.0,33.0,26.0,57.0,99.0
