,orange line,green line,yellow line,blue line,STM,uber,taxi,cab	,bus,bixi
2020-01-01,37.0,0.0,0.0,64.0,76.0,90.0,100.0,100.0,73.0,26.0
2020-01-02,0.0,0.0,0.0,36.0,73.0,64.0,29.0,60.0,88.0,0.0
2020-01-03,44.0,61.0,0.0,70.0,61.0,63.0,32.0,33.0,81.0,0.0
2020-01-04,32.0,0.0,0.0,0.0,56.0,71.0,25.0,41.0,64.0,0.0
2020-01-05,32.0,33.0,0.0,37.0,49.0,65.0,28.0,41.0,70.0,0.0
2020-01-06,29.0,0.0,0.0,0.0,78.0,64.0,18.0,69.0,85.0,21.0
2020-01-07,44.0,30.0,0.0,34.0,62.0,47.0,22.0,42.0,73.0,21.0
2020-01-08,0.0,0.0,0.0,34.0,71.0,69.0,21.0,28.0,65.0,0.0
2020-01-09,0.0,0.0,0.0,34.0,62.0,38.0,23.0,33.0,72.0,0.0
2020-01-10,89.0,0.0,0.0,35.0,60.0,88.0,26.0,42.0,74.0,0.0
2020-01-11,63.0,0.0,0.0,0.0,42.0,77.0,38.0,35.0,75.0,0.0
2020-01-12,30.0,46.0,0.0,0.0,42.0,63.0,37.0,38.0,60.0,22.0
2020-01-13,0.0,27.0,0.0,0.0,64.0,60.0,29.0,26.0,85.0,0.0
2020-01-14,0.0,27.0,0.0,31.0,57.0,63.0,22.0,34.0,60.0,19.0
2020-01-15,28.0,29.0,0.0,33.0,57.0,68.0,23.0,55.0,79.0,21.0
2020-01-16,29.0,0.0,0.0,34.0,58.0,79.0,26.0,23.0,70.0,0.0
2020-01-17,0.0,30.0,0.0,0.0,66.0,71.0,35.0,47.0,84.0,0.0
2020-01-18,32.0,33.0,0.0,38.0,64.0,84.0,42.0,62.0,77.0,0.0
2020-01-19,0.0,0.0,0.0,74.0,59.0,76.0,51.0,81.0,82.0,0.0
2020-01-20,0.0,59.0,0.0,67.0,91.0,66.0,27.0,60.0,87.0,0.0
2020-01-21,100.0,44.0,0.0,33.0,80.0,56.0,25.0,50.0,94.0,42.0
2020-01-22,29.0,0.0,0.0,67.0,61.0,73.0,23.0,65.0,82.0,0.0
2020-01-23,29.0,30.0,0.0,34.0,57.0,57.0,24.0,37.0,70.0,0.0
2020-01-24,49.0,0.0,0.0,0.0,62.0,59.0,25.0,52.0,89.0,0.0
2020-01-25,33.0,50.0,0.0,0.0,56.0,64.0,28.0,47.0,75.0,47.0
2020-01-26,31.0,0.0,0.0,36.0,62.0,56.0,30.0,35.0,66.0,0.0
2020-01-27,27.0,0.0,0.0,64.0,74.0,58.0,21.0,44.0,78.0,0.0
2020-01-28,46.0,67.0,0.0,33.0,81.0,48.0,25.0,27.0,71.0,20.0
2020-01-29,28.0,29.0,0.0,33.0,56.0,58.0,23.0,41.0,68.0,21.0
2020-01-30,29.0,30.0,0.0,34.0,68.0,59.0,27.0,42.0,73.0,0.0
2020-01-31,0.0,0.0,0.0,69.0,78.0,43.0,31.0,52.0,58.0,0.0
2020-02-01,32.0,100.0,0.0,0.0,75.0,62.0,36.0,36.0,63.0,24.0
2020-02-02,31.0,32.0,0.0,37.0,56.0,65.0,24.0,70.0,63.0,0.0
2020-02-03,52.0,27.0,0.0,30.0,55.0,61.0,20.0,21.0,68.0,0.0
2020-02-04,28.0,0.0,0.0,50.0,47.0,63.0,17.0,41.0,72.0,21.0
2020-02-05,0.0,89.0,0.0,34.0,77.0,66.0,24.0,37.0,71.0,0.0
2020-02-06,28.0,0.0,0.0,67.0,69.0,61.0,25.0,41.0,87.0,21.0
2020-02-07,27.0,0.0,0.0,0.0,100.0,78.0,35.0,35.0,100.0,20.0
2020-02-08,33.0,35.0,0.0,0.0,80.0,100.0,50.0,24.0,83.0,0.0
2020-02-09,0.0,33.0,0.0,37.0,59.0,84.0,45.0,23.0,92.0,23.0
2020-02-10,28.0,29.0,0.0,33.0,76.0,82.0,29.0,36.0,98.0,21.0
2020-02-11,28.0,0.0,0.0,33.0,60.0,65.0,26.0,81.0,83.0,0.0
2020-02-12,28.0,39.0,0.0,100.0,62.0,56.0,21.0,69.0,78.0,0.0
2020-02-13,56.0,44.0,0.0,33.0,53.0,49.0,29.0,50.0,82.0,0.0
2020-02-14,29.0,29.0,0.0,34.0,60.0,82.0,40.0,69.0,75.0,21.0
2020-02-15,32.0,33.0,0.0,50.0,62.0,71.0,39.0,67.0,71.0,47.0
