,cruise,airplane tickets,road trip,beach vacations,retreats,resort,Bahamas,camping,world tour,bike trip
2020-01-01,99.0,0.0,69.0,0.0,0.0,62.0,64.0,30.0,21.0,0.0
2020-01-02,100.0,0.0,29.0,0.0,0.0,78.0,74.0,25.0,9.0,95.0
2020-01-03,86.0,0.0,70.0,69.0,67.0,79.0,55.0,26.0,22.0,0.0
2020-01-04,83.0,0.0,76.0,0.0,35.0,77.0,66.0,29.0,16.0,0.0
2020-01-05,74.0,98.0,45.0,0.0,35.0,96.0,52.0,45.0,18.0,0.0
2020-01-06,56.0,0.0,41.0,50.0,32.0,88.0,60.0,25.0,0.0,0.0
2020-01-07,61.0,0.0,64.0,0.0,64.0,73.0,72.0,32.0,9.0,0.0
2020-01-08,45.0,0.0,54.0,100.0,32.0,85.0,74.0,35.0,8.0,0.0
2020-01-09,69.0,90.0,27.0,50.0,65.0,86.0,42.0,21.0,13.0,0.0
2020-01-10,57.0,0.0,0.0,51.0,66.0,69.0,64.0,21.0,8.0,0.0
2020-01-11,82.0,0.0,45.0,0.0,0.0,90.0,69.0,32.0,0.0,0.0
2020-01-12,87.0,0.0,38.0,52.0,100.0,82.0,71.0,45.0,9.0,0.0
2020-01-13,68.0,82.0,50.0,46.0,0.0,73.0,63.0,41.0,8.0,0.0
2020-01-14,58.0,0.0,50.0,0.0,0.0,92.0,100.0,31.0,8.0,0.0
2020-01-15,70.0,0.0,81.0,50.0,0.0,87.0,53.0,33.0,17.0,0.0
2020-01-16,57.0,0.0,28.0,0.0,32.0,70.0,45.0,32.0,0.0,0.0
2020-01-17,65.0,0.0,56.0,51.0,0.0,71.0,49.0,28.0,14.0,0.0
2020-01-18,77.0,100.0,62.0,0.0,0.0,92.0,57.0,33.0,19.0,0.0
2020-01-19,93.0,97.0,100.0,55.0,35.0,79.0,72.0,39.0,14.0,98.0
2020-01-20,46.0,0.0,46.0,0.0,0.0,89.0,42.0,36.0,14.0,0.0
2020-01-21,60.0,0.0,54.0,50.0,0.0,100.0,65.0,31.0,17.0,0.0
2020-01-22,58.0,0.0,55.0,0.0,0.0,75.0,33.0,35.0,17.0,0.0
2020-01-23,59.0,0.0,28.0,51.0,32.0,64.0,54.0,26.0,17.0,0.0
2020-01-24,59.0,0.0,47.0,77.0,0.0,67.0,39.0,28.0,9.0,0.0
2020-01-25,79.0,0.0,31.0,0.0,37.0,86.0,74.0,39.0,13.0,0.0
2020-01-26,92.0,0.0,74.0,54.0,35.0,73.0,93.0,49.0,14.0,0.0
2020-01-27,58.0,0.0,26.0,95.0,31.0,60.0,57.0,35.0,27.0,0.0
2020-01-28,53.0,0.0,40.0,48.0,0.0,61.0,63.0,26.0,73.0,0.0
2020-01-29,41.0,0.0,54.0,50.0,32.0,60.0,41.0,29.0,33.0,0.0
2020-01-30,62.0,0.0,55.0,0.0,66.0,63.0,33.0,24.0,25.0,0.0
2020-01-31,59.0,91.0,42.0,51.0,0.0,73.0,46.0,36.0,40.0,0.0
2020-02-01,68.0,0.0,46.0,56.0,36.0,86.0,60.0,54.0,52.0,100.0
2020-02-02,64.0,0.0,89.0,55.0,35.0,77.0,52.0,55.0,24.0,97.0
2020-02-03,56.0,0.0,49.0,0.0,29.0,75.0,53.0,33.0,35.0,0.0
2020-02-04,57.0,0.0,27.0,50.0,0.0,73.0,59.0,33.0,37.0,0.0
2020-02-05,61.0,0.0,40.0,0.0,32.0,68.0,29.0,27.0,8.0,0.0
2020-02-06,89.0,0.0,54.0,0.0,0.0,62.0,44.0,29.0,8.0,0.0
