,croisière,billets d'avion,Virée,plage,retraites,recours,Bahamas,camping,tour du monde,voyage
2020-01-01,25.0,0.0,0.0,36.0,0.0,15.0,64.0,30.0,32.0,57.0
2020-01-02,53.0,0.0,0.0,49.0,35.0,21.0,74.0,25.0,27.0,74.0
2020-01-03,61.0,100.0,0.0,59.0,67.0,33.0,55.0,26.0,52.0,70.0
2020-01-04,55.0,0.0,0.0,60.0,36.0,26.0,66.0,29.0,28.0,72.0
2020-01-05,44.0,0.0,0.0,61.0,0.0,39.0,52.0,45.0,28.0,73.0
2020-01-06,59.0,0.0,46.0,54.0,32.0,24.0,60.0,25.0,25.0,74.0
2020-01-07,40.0,0.0,0.0,63.0,32.0,18.0,72.0,32.0,25.0,74.0
2020-01-08,39.0,0.0,0.0,70.0,32.0,20.0,74.0,35.0,0.0,68.0
2020-01-09,70.0,0.0,45.0,49.0,0.0,20.0,42.0,21.0,25.0,67.0
2020-01-10,70.0,0.0,46.0,51.0,33.0,20.0,64.0,21.0,26.0,68.0
2020-01-11,33.0,0.0,0.0,48.0,0.0,26.0,69.0,32.0,28.0,80.0
2020-01-12,51.0,100.0,46.0,75.0,100.0,12.0,71.0,45.0,0.0,75.0
2020-01-13,73.0,0.0,0.0,57.0,0.0,33.0,63.0,41.0,46.0,78.0
2020-01-14,45.0,0.0,41.0,56.0,29.0,36.0,100.0,31.0,0.0,73.0
2020-01-15,39.0,0.0,0.0,58.0,0.0,31.0,53.0,33.0,25.0,79.0
2020-01-16,60.0,0.0,45.0,59.0,32.0,44.0,45.0,32.0,0.0,71.0
2020-01-17,51.0,0.0,0.0,55.0,0.0,28.0,49.0,28.0,51.0,72.0
2020-01-18,100.0,0.0,51.0,59.0,0.0,53.0,57.0,33.0,28.0,73.0
2020-01-19,22.0,0.0,0.0,94.0,35.0,30.0,72.0,39.0,41.0,72.0
2020-01-20,60.0,0.0,0.0,60.0,0.0,28.0,42.0,36.0,25.0,72.0
2020-01-21,79.0,0.0,44.0,65.0,0.0,51.0,65.0,31.0,25.0,77.0
2020-01-22,40.0,96.0,45.0,55.0,32.0,36.0,33.0,35.0,25.0,69.0
2020-01-23,60.0,0.0,0.0,64.0,0.0,24.0,54.0,26.0,25.0,77.0
