,engagement ring,wedding dress,groom,wedding anniversary,bridal shower,bride,cash,wedding invitation,wedding venue,engagement
2020-01-01,39.0,42.0,29.0,56.0,58.0,59.0,78.0,0.0,56.0,38.0
2020-01-02,84.0,60.0,0.0,0.0,0.0,74.0,74.0,0.0,48.0,45.0
2020-01-03,48.0,35.0,24.0,46.0,0.0,32.0,52.0,0.0,0.0,56.0
2020-01-04,52.0,37.0,34.0,49.0,100.0,62.0,74.0,55.0,0.0,100.0
2020-01-05,34.0,100.0,25.0,48.0,50.0,83.0,71.0,0.0,49.0,40.0
2020-01-06,62.0,22.0,23.0,0.0,0.0,50.0,50.0,0.0,44.0,42.0
2020-01-07,62.0,38.0,35.0,0.0,0.0,47.0,58.0,50.0,0.0,79.0
2020-01-08,46.0,37.0,30.0,0.0,0.0,83.0,72.0,0.0,0.0,65.0
2020-01-09,31.0,37.0,0.0,44.0,0.0,94.0,88.0,51.0,45.0,61.0
2020-01-10,0.0,46.0,23.0,45.0,47.0,90.0,71.0,51.0,0.0,56.0
2020-01-11,34.0,57.0,38.0,0.0,0.0,51.0,89.0,0.0,0.0,50.0
2020-01-12,64.0,54.0,24.0,45.0,47.0,51.0,66.0,0.0,46.0,37.0
2020-01-13,28.0,72.0,21.0,41.0,42.0,52.0,40.0,0.0,41.0,39.0
2020-01-14,28.0,34.0,21.0,40.0,41.0,51.0,62.0,46.0,40.0,49.0
2020-01-15,31.0,87.0,30.0,0.0,0.0,55.0,65.0,0.0,0.0,65.0
2020-01-16,31.0,52.0,0.0,0.0,0.0,75.0,77.0,50.0,0.0,61.0
2020-01-17,32.0,53.0,23.0,0.0,0.0,45.0,71.0,52.0,68.0,62.0
2020-01-18,53.0,50.0,0.0,100.0,51.0,70.0,70.0,0.0,0.0,31.0
2020-01-19,35.0,49.0,34.0,99.0,51.0,42.0,69.0,0.0,50.0,40.0
2020-01-20,0.0,51.0,23.0,44.0,45.0,37.0,63.0,99.0,0.0,53.0
2020-01-21,62.0,77.0,23.0,43.0,0.0,18.0,61.0,0.0,44.0,90.0
2020-01-22,31.0,56.0,23.0,44.0,68.0,75.0,79.0,100.0,44.0,66.0
2020-01-23,31.0,68.0,23.0,0.0,0.0,38.0,84.0,0.0,0.0,55.0
2020-01-24,32.0,23.0,47.0,45.0,46.0,51.0,65.0,0.0,45.0,25.0
2020-01-25,35.0,50.0,26.0,0.0,0.0,56.0,70.0,57.0,50.0,41.0
2020-01-26,100.0,40.0,33.0,0.0,0.0,47.0,61.0,55.0,0.0,97.0
2020-01-27,30.0,64.0,22.0,42.0,0.0,95.0,70.0,48.0,84.0,69.0
2020-01-28,45.0,43.0,22.0,0.0,44.0,36.0,67.0,0.0,43.0,70.0
2020-01-29,31.0,44.0,0.0,44.0,45.0,49.0,80.0,0.0,44.0,30.0
2020-01-30,31.0,0.0,0.0,0.0,46.0,57.0,63.0,0.0,45.0,73.0
2020-01-31,32.0,38.0,24.0,91.0,0.0,19.0,41.0,52.0,46.0,56.0
2020-02-01,47.0,50.0,26.0,50.0,0.0,49.0,62.0,0.0,51.0,62.0
2020-02-02,69.0,49.0,42.0,0.0,99.0,48.0,70.0,0.0,49.0,59.0
2020-02-03,37.0,40.0,0.0,0.0,0.0,100.0,72.0,45.0,0.0,64.0
2020-02-04,31.0,55.0,0.0,44.0,45.0,43.0,52.0,0.0,44.0,66.0
