,bague de fiançailles,robe de mariée,Marié,anniversaire de mariage,fiançaille,la mariée,en espèces,cérémonie,salle de mariage,engagement
2020-01-01,0.0,57.0,0.0,0.0,0.0,73.0,0.0,0.0,59.0,48.0
2020-01-02,0.0,41.0,54.0,0.0,0.0,46.0,0.0,0.0,100.0,27.0
2020-01-03,0.0,58.0,61.0,0.0,0.0,29.0,0.0,31.0,96.0,47.0
2020-01-04,0.0,50.0,55.0,73.0,0.0,42.0,0.0,34.0,51.0,67.0
2020-01-05,0.0,41.0,33.0,71.0,0.0,42.0,0.0,50.0,0.0,50.0
2020-01-06,0.0,38.0,30.0,33.0,0.0,72.0,0.0,61.0,0.0,60.0
2020-01-07,0.0,23.0,40.0,33.0,0.0,48.0,0.0,61.0,0.0,56.0
2020-01-08,0.0,45.0,29.0,32.0,0.0,28.0,0.0,0.0,61.0,45.0
2020-01-09,0.0,45.0,60.0,66.0,0.0,43.0,57.0,31.0,0.0,46.0
2020-01-10,0.0,23.0,60.0,33.0,0.0,29.0,0.0,31.0,71.0,46.0
2020-01-11,0.0,37.0,43.0,0.0,0.0,94.0,0.0,34.0,0.0,17.0
2020-01-12,0.0,47.0,62.0,0.0,0.0,49.0,0.0,64.0,48.0,52.0
2020-01-13,0.0,42.0,27.0,0.0,0.0,39.0,52.0,0.0,43.0,42.0
2020-01-14,0.0,27.0,27.0,30.0,0.0,26.0,51.0,28.0,43.0,41.0
2020-01-15,0.0,44.0,29.0,32.0,0.0,28.0,56.0,30.0,46.0,40.0
2020-01-16,0.0,23.0,45.0,32.0,0.0,29.0,0.0,30.0,47.0,56.0
2020-01-17,0.0,23.0,30.0,33.0,0.0,29.0,0.0,0.0,47.0,77.0
2020-01-18,0.0,59.0,50.0,37.0,0.0,32.0,0.0,34.0,52.0,42.0
2020-01-19,0.0,50.0,33.0,72.0,0.0,31.0,62.0,0.0,0.0,100.0
2020-01-20,0.0,68.0,45.0,0.0,91.0,0.0,0.0,41.0,92.0,40.0
2020-01-21,0.0,45.0,59.0,33.0,0.0,85.0,0.0,0.0,46.0,55.0
2020-01-22,0.0,34.0,30.0,33.0,0.0,57.0,0.0,30.0,69.0,60.0
2020-01-23,0.0,68.0,100.0,0.0,0.0,58.0,0.0,0.0,47.0,36.0
2020-01-24,0.0,23.0,46.0,33.0,0.0,29.0,0.0,31.0,0.0,39.0
2020-01-25,0.0,59.0,67.0,73.0,0.0,54.0,0.0,52.0,0.0,51.0
2020-01-26,0.0,36.0,32.0,35.0,0.0,51.0,0.0,33.0,100.0,43.0
2020-01-27,0.0,43.0,28.0,31.0,0.0,27.0,54.0,39.0,0.0,58.0
2020-01-28,0.0,29.0,38.0,0.0,0.0,55.0,55.0,0.0,45.0,49.0
2020-01-29,0.0,44.0,59.0,32.0,0.0,0.0,0.0,0.0,0.0,54.0
2020-01-30,0.0,38.0,40.0,100.0,0.0,0.0,57.0,0.0,0.0,61.0
2020-01-31,0.0,31.0,46.0,0.0,0.0,29.0,0.0,31.0,48.0,31.0
2020-02-01,0.0,42.0,0.0,0.0,0.0,32.0,0.0,34.0,52.0,85.0
2020-02-02,0.0,57.0,97.0,47.0,0.0,62.0,0.0,0.0,50.0,22.0
2020-02-03,0.0,41.0,67.0,29.0,0.0,0.0,0.0,0.0,0.0,36.0
2020-02-04,85.0,22.0,59.0,0.0,0.0,28.0,0.0,60.0,0.0,59.0
2020-02-05,0.0,22.0,49.0,0.0,0.0,85.0,56.0,30.0,0.0,40.0
2020-02-06,0.0,34.0,0.0,32.0,0.0,56.0,0.0,0.0,0.0,35.0
2020-02-07,82.0,32.0,28.0,0.0,0.0,0.0,54.0,29.0,44.0,33.0
2020-02-08,100.0,79.0,35.0,0.0,0.0,100.0,0.0,36.0,54.0,41.0
2020-02-09,0.0,37.0,33.0,36.0,100.0,63.0,0.0,68.0,0.0,67.0
2020-02-10,0.0,44.0,29.0,0.0,0.0,28.0,0.0,100.0,0.0,49.0
2020-02-11,0.0,44.0,44.0,32.0,0.0,0.0,0.0,30.0,0.0,39.0
2020-02-12,0.0,45.0,29.0,32.0,0.0,42.0,0.0,0.0,46.0,35.0
